TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-199977	ER to Golgi Anterograde Transport	0.239904648786355	-1.42751373130692	118	1	0.05	20	8672	20741	Sptb
R-MMU-194840	Rho GTPase cycle	0.255757745587891	-1.36352458883035	127	1	0.05	20	8672	223435	Trio
R-MMU-168898	Toll-Like Receptors Cascades	0.266151420643828	-1.32368988162136	133	1	0.05	20	8672	12475	Cd14
R-MMU-212165	Epigenetic regulation of gene expression	0.27129640245532	-1.30454331979839	136	1	0.05	20	8672	17191	Mbd2
R-MMU-112314	Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	0.27129640245532	-1.30454331979839	136	1	0.05	20	8672	14805	Grik1
R-MMU-74160	Gene Expression	0.273524741709325	-1.29636319792345	1158	4	0.2	20	8672	57748,108083,17191,327987	Jmy,Pip4k2b,Mbd2,Med13
R-MMU-948021	Transport to the Golgi and subsequent modification	0.291535690607271	-1.23259284292569	148	1	0.05	20	8672	20741	Sptb
R-MMU-211945	Phase 1 - Functionalization of compounds	0.296511425483229	-1.21566952677337	151	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-199991	Membrane Trafficking	0.321131510001282	-1.13590455127402	499	2	0.1	20	8672	20741,74438	Sptb,Clvs1
R-MMU-201681	TCF dependent signaling in response to WNT	0.327261812750229	-1.11699477782228	170	1	0.05	20	8672	14160	Lgr5
R-MMU-416476	G alpha (q) signalling events	0.328844353777429	-1.11217072898099	171	1	0.05	20	8672	223435	Trio
R-MMU-109582	Hemostasis	0.337600301426037	-1.0858926234111	518	2	0.1	20	8672	15962,14729	Ifna1,Gp5
R-MMU-1168372	Downstream signaling events of B Cell Receptor (BCR)	0.341377976194718	-1.07476498097005	179	1	0.05	20	8672	108083	Pip4k2b
R-MMU-5653656	Vesicle-mediated transport	0.35741836478234	-1.02884829318315	541	2	0.1	20	8672	74438,20741	Clvs1,Sptb
R-MMU-1483257	Phospholipid metabolism	0.358249064370234	-1.02652682394444	190	1	0.05	20	8672	108083	Pip4k2b
R-MMU-112315	Transmission across Chemical Synapses	0.368770571366755	-0.99758058612683	197	1	0.05	20	8672	14805	Grik1
R-MMU-6798695	Neutrophil degranulation	0.372814287133568	-0.986674873048903	559	2	0.1	20	8672	17064,12475	Cd93,Cd14
R-MMU-983705	Signaling by the B Cell Receptor (BCR)	0.387877223392753	-0.947066423989601	210	1	0.05	20	8672	108083	Pip4k2b
R-MMU-211859	Biological oxidations	0.417585970847993	-0.873264837690683	231	1	0.05	20	8672	100043108	Cyp2c69
R-MMU-5334727	Mus musculus biological processes	0.427180716339516	-0.850548132009667	238	1	0.05	20	8672	327987	Med13
R-MMU-446203	Asparagine N-linked glycosylation	0.445921582721118	-0.807612165916087	252	1	0.05	20	8672	20741	Sptb
R-MMU-76002	Platelet activation, signaling and aggregation	0.456367578574795	-0.784456700820739	260	1	0.05	20	8672	14729	Gp5
R-MMU-1474244	Extracellular matrix organization	0.469162102732372	-0.756806935429993	270	1	0.05	20	8672	11490	Adam15
R-MMU-556833	Metabolism of lipids and lipoproteins	0.488216245278522	-0.716996845709389	700	2	0.1	20	8672	108083,100043108	Pip4k2b,Cyp2c69
R-MMU-112316	Neuronal System	0.518690304039486	-0.656448290609431	311	1	0.05	20	8672	14805	Grik1
R-MMU-162582	Signal Transduction	0.523339644982619	-0.647524608904278	2468	6	0.3	20	8672	114713,14160,22415,223435,20741,108083	Rasa2,Lgr5,Wnt3,Trio,Sptb,Pip4k2b
R-MMU-194315	Signaling by Rho GTPases	0.577253426489972	-0.549473894879534	365	1	0.05	20	8672	223435	Trio
R-MMU-597592	Post-translational protein modification	0.580793989306235	-0.543359164515744	826	2	0.1	20	8672	20741,268890	Sptb,Lsamp
R-MMU-372790	Signaling by GPCR	0.608227528382421	-0.497206242707232	1324	3	0.15	20	8672	20741,114713,223435	Sptb,Rasa2,Trio
R-MMU-1430728	Metabolism	0.65003135600898	-0.430734677242151	1861	4	0.2	20	8672	100043108,21990,108083,11992	Cyp2c69,Tph1,Pip4k2b,Auh
R-MMU-392499	Metabolism of proteins	0.747452458197174	-0.291084576813945	1113	2	0.1	20	8672	268890,20741	Lsamp,Sptb
R-MMU-1280218	Adaptive Immune System	0.764376309847304	-0.268695058923455	604	1	0.05	20	8672	108083	Pip4k2b
